TITLE = "Cavity Iterative Residual History"
variables="Iteration""Time(s)""Res1""Res2""Res3"
1 7.031250e-04 1.000000e+00 1.000000e+00 1.000000e+00
10 6.928230e-03 8.696943e-01 1.091492e+00 9.418527e-01
20 1.351835e-02 5.936999e-01 9.905255e-01 7.652381e-01
30 1.916765e-02 2.806091e-01 3.063364e-01 2.880252e-01
40 2.538480e-02 2.257715e-01 2.107071e-01 1.715374e-01
50 3.228004e-02 1.503711e-01 1.286682e-01 1.536087e-01
60 3.931129e-02 9.776446e-02 1.260418e-01 5.196065e-02
70 4.634254e-02 6.556160e-02 9.280558e-02 9.909187e-02
80 5.337379e-02 4.193297e-02 5.320640e-02 4.059706e-02
90 6.040504e-02 6.207016e-02 5.988706e-02 2.852559e-02
100 6.743629e-02 4.096542e-02 3.252795e-02 3.230594e-02
110 7.446754e-02 2.039074e-02 2.940874e-02 2.356917e-02
120 8.149879e-02 1.911404e-02 2.929307e-02 2.118976e-02
130 8.853004e-02 1.210053e-02 1.257255e-02 1.294572e-02
140 9.556129e-02 1.774707e-02 1.535101e-02 1.460978e-02
150 1.025925e-01 1.003486e-02 1.046662e-02 9.102113e-03
160 1.096238e-01 9.501711e-03 7.545580e-03 8.758364e-03
170 1.166550e-01 6.342869e-03 6.464295e-03 8.034667e-03
180 1.236863e-01 5.251884e-03 5.853538e-03 4.888739e-03
190 1.307175e-01 4.643763e-03 3.306500e-03 4.434951e-03
200 1.377488e-01 4.178179e-03 3.315624e-03 4.496456e-03
210 1.447800e-01 2.615612e-03 3.173958e-03 2.605176e-03
220 1.518113e-01 2.334527e-03 1.790926e-03 2.644638e-03
230 1.588425e-01 2.172015e-03 1.903870e-03 2.543260e-03
240 1.658738e-01 1.415430e-03 1.549383e-03 1.361960e-03
250 1.729050e-01 1.475353e-03 8.738729e-04 1.617724e-03
260 1.799363e-01 1.147599e-03 1.001494e-03 1.362767e-03
270 1.869675e-01 7.900264e-04 8.399945e-04 7.407391e-04
280 1.939988e-01 7.996613e-04 4.583729e-04 9.364409e-04
290 2.010300e-01 6.102944e-04 5.568250e-04 7.132245e-04
300 2.080613e-01 4.419888e-04 4.359751e-04 4.166623e-04
310 2.150925e-01 4.421484e-04 2.403477e-04 5.383058e-04
320 2.221238e-01 3.217388e-04 3.255972e-04 3.606510e-04
330 2.291550e-01 2.479090e-04 2.203853e-04 2.443919e-04
340 2.361863e-01 2.434121e-04 1.389932e-04 3.016619e-04
